vehicle_model,battery_capacity_(kwh),charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed_(kwh),charging_duration_(hours),charging_rate_(kw),charging_cost_(usd),day_of_week,state_of_charge_(start_%),state_of_charge_(end_%),distance_driven_(since_last_charge)_(km),temperature_(â°c),vehicle_age_(years),charger_type,location_type,charging_duration_minutes,hour_of_day,time_of_day,Estimated Energy Consumed (kWh),Charging Cost Per Hour (USD),Temperature (°F),Temperature Category
BMW i3,108.46300741284,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.7123457349267,0.5913634253585,36.3891805669814,13.0877167917745,Monday,29.37157597914,86.1199624445783,293.602110638327,27.9479530558009,2.0,DC Fast Charger,Residential,39.0,0,Night,23.65296736853791,22.131427529256456,82.30631550044163,Hot
Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.3392752037337,3.13365205268808,30.6777349397144,21.1284479291373,Monday,10.1157776416799,84.6643436278644,112.112803682181,14.3110256603777,3.0,Level 1,Commercial,121.0,1,Night,61.866765461757375,6.742435846064369,57.75984618867986,Cool
Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.1288757001154,2.45265272583678,27.5135925587732,35.6672704235673,Monday,6.85460444439855,69.9176152401628,71.799252925948,21.0020018361442,2.0,Level 2,Public,168.0,2,Night,77.03805916456496,14.542323928634689,69.80360330505955,Mild
Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.457823988455,1.26643080462045,32.8828697573862,13.0362388339146,Monday,83.1200029607422,99.6243276311942,199.577784516328,38.3163131603634,1.0,Level 1,Mall,222.0,3,Night,121.66661810232895,10.293684255273282,100.96936368865411,Sweltering
Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.6291041677272,2.01976508658946,10.2157120712046,10.1614711710314,Monday,54.2589496911698,63.7437860361696,203.661846557998,-7.83419902724921,1.0,Level 1,Highway,106.0,4,Night,18.04775799246146,5.031016348633831,17.898441750951424,Below Freezing
Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.1811371424853,1.16764015410142,14.3345227761183,36.9003407779617,Monday,75.2177483369694,71.9822875712368,143.680046107284,-5.27421779652268,0.0,DC Fast Charger,Institutional,130.0,5,Night,31.058132681589647,31.602493840543765,22.506407966259175,Below Freezing
Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.8621399882675,3.53961902631614,26.1851878600335,22.2142251756978,Monday,60.7517807597667,70.7960969014714,81.3380089080277,27.5513346806664,4.0,Level 2,Parking,113.0,6,Morning,49.315437136396426,6.275880260146884,81.59240242519952,Hot
Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.4676168583994,2.65539644561302,26.7029077655282,9.79682132132203,Monday,56.2017030329954,63.7868153317766,116.543165781169,-4.41745966595273,0.0,Level 2,Residential,222.0,7,Morning,98.80075873245434,3.689400630744745,24.048572601285084,Below Freezing
Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.5923722821698,1.72420359913277,14.2949229266611,32.4650050720882,Monday,33.4662002632606,92.9614209035889,208.259742494436,22.5167064267963,4.0,Level 1,Commercial,81.0,8,Morning,19.298145950992485,18.828985792871133,72.53007156823334,Mild
Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.8686074512678,2.02687469098435,11.760999715157,21.3123024511557,Monday,27.3994546256091,70.053381377807,54.0063091999255,27.5120193646259,2.83038130694358,DC Fast Charger,Public,224.0,9,Morning,43.90773226991947,10.514859426660163,81.52163485632661,Hot
